Altium Designer Pick and Place Locations
C:\Users\marce\Documents\CERN\APD\IPMC\Schematic\svn\trunk\Project Outputs for ZYNQ_IPMC\revB1\Pick Place\Pick Place for ZYNQ_IPMC.csv

========================================================================================================================
File Design Information:

Date:       20/06/19
Time:       15:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C1","TopLayer","C1210_IPC_H","161.417","1055.118","90","Capacitor"
"C2","TopLayer","C0402_IPC_H","170.000","380.000","360","Capacitor"
"C3","TopLayer","C0201_IPC_H","220.472","480.315","360","Capacitor"
"C4","TopLayer","C0402_IPC_H","263.779","185.039","360","Capacitor"
"C5","TopLayer","C0402_IPC_H","255.905","1003.937","90","Capacitor"
"C6","TopLayer","C0805_M","311.024","1086.614","360","Capacitor"
"C7","TopLayer","C0201_IPC_H","275.000","220.000","360","Capacitor"
"C8","TopLayer","C0402_IPC_H","326.772","185.039","180","Capacitor"
"C9","TopLayer","C0201_IPC_H","350.000","220.000","180","Capacitor"
"C10","TopLayer","C0201_IPC_H","535.433","236.220","270","Capacitor"
"C11","TopLayer","C1210_IPC_H","866.142","1051.181","0","Capacitor"
"C12","TopLayer","C0402_IPC_H","1172.638","1129.921","180","Capacitor"
"C13","TopLayer","C0402_IPC_H","1283.465","1125.984","90","Capacitor"
"C14","TopLayer","C0805_M","1570.866","1122.047","180","Capacitor"
"C15","TopLayer","C0402_IPC_H","1720.472","1070.866","180","Capacitor"
"C16","TopLayer","C1210_IPC_H","1748.032","677.165","90","Capacitor"
"C17","TopLayer","C0805_M","1744.094","360.236","90","Capacitor"
"C18","TopLayer","C1210_IPC_H","1799.213","814.961","180","Capacitor"
"C19","TopLayer","C0402_IPC_H","1814.961","1070.866","180","Capacitor"
"C20","TopLayer","C1210_IPC_H","1874.016","614.173","90","Capacitor"
"C21","TopLayer","C0402_IPC_H","1838.583","724.409","270","Capacitor"
"C22","TopLayer","C0402_IPC_H","1874.016","724.409","270","Capacitor"
"C23","TopLayer","C0402_IPC_H","1909.449","724.409","270","Capacitor"
"C24","TopLayer","C0805_M","1980.315","586.614","270","Capacitor"
"C25","TopLayer","C0402_IPC_H","2043.307","633.858","180","Capacitor"
"C26","TopLayer","C1210_IPC_H","2086.614","480.315","90","Capacitor"
"C27","TopLayer","C0402_IPC_H","2094.488","1118.110","270","Capacitor"
"C28","TopLayer","C0402_IPC_H","2122.047","692.913","90","Capacitor"
"C29","TopLayer","C0402_IPC_H","2125.984","1118.110","270","Capacitor"
"C30","TopLayer","C1210_IPC_H","2255.905","716.535","360","Capacitor"
"C31","TopLayer","C0402_IPC_H","2389.764","720.472","90","Capacitor"
"C32","TopLayer","C0402_IPC_H","2413.386","507.874","270","Capacitor"
"C33","TopLayer","C0402_IPC_H","2448.819","456.693","90","Capacitor"
"C34","TopLayer","C0402_IPC_H","2468.504","720.472","270","Capacitor"
"C35","TopLayer","C0402_IPC_H","2484.252","901.575","360","Capacitor"
"C36","TopLayer","C0201_IPC_H","2484.252","783.465","360","Capacitor"
"C37","TopLayer","C0201_IPC_H","2484.252","933.071","360","Capacitor"
"C38","TopLayer","C0402_IPC_H","2500.000","720.472","270","Capacitor"
"C39","TopLayer","C0402_IPC_H","2519.685","1145.669","360","Capacitor"
"C40","TopLayer","C0201_IPC_H","2700.787","996.063","360","Capacitor"
"C41","TopLayer","C0201_IPC_H","2787.402","996.063","180","Capacitor"
"C42","TopLayer","C0201_IPC_H","2854.331","1047.244","270","Capacitor"
"C43","TopLayer","C0201_IPC_H","2937.008","996.063","360","Capacitor"
"C44","TopLayer","C0201_IPC_H","2952.756","1047.244","270","Capacitor"
"C45","TopLayer","C0201_IPC_H","3023.622","996.063","180","Capacitor"
"C46","TopLayer","C0201_IPC_H","3051.181","1047.244","270","Capacitor"
"C47","BottomLayer","C0402_IPC_H","3074.803","464.567","90","Capacitor"
"C48","BottomLayer","C0402_IPC_H","2992.126","846.457","270","Capacitor"
"C49","BottomLayer","C0402_IPC_H","2940.945","716.535","180","Capacitor"
"C50","BottomLayer","C0402_IPC_H","2921.260","748.032","180","Capacitor"
"C51","BottomLayer","C0402_IPC_H","2921.260","881.890","270","Capacitor"
"C52","BottomLayer","C0402_IPC_H","2893.701","673.228","90","Capacitor"
"C53","BottomLayer","C0402_IPC_H","2889.764","862.205","270","Capacitor"
"C54","BottomLayer","C0402_IPC_H","2767.716","523.622","360","Capacitor"
"C55","BottomLayer","C0201_IPC_H","2775.591","913.386","180","Capacitor"
"C56","BottomLayer","C0201_IPC_H","2625.984","921.260","90","Capacitor"
"C57","BottomLayer","C0402_IPC_H","2578.150","905.512","180","Capacitor"
"C58","BottomLayer","C0402_IPC_H","2578.150","937.008","180","Capacitor"
"C59","BottomLayer","C0402_IPC_H","2484.252","712.598","360","Capacitor"
"C60","BottomLayer","C0402_IPC_H","2484.252","744.095","360","Capacitor"
"C61","BottomLayer","C1210_IPC_H","2255.905","716.535","360","Capacitor"
"C62","BottomLayer","C0402_IPC_H","2161.417","992.126","90","Capacitor"
"C63","BottomLayer","C0402_IPC_H","2129.921","992.126","90","Capacitor"
"C64","BottomLayer","C1210_IPC_H","1874.016","614.173","90","Capacitor"
"C65","BottomLayer","C1210_IPC_H","1799.213","814.961","180","Capacitor"
"C66","BottomLayer","C0402_IPC_H","1807.087","1051.181","90","Capacitor"
"C67","BottomLayer","C1210_IPC_H","1748.032","512.795","270","Capacitor"
"C68","BottomLayer","C1210_IPC_H","1748.032","677.165","90","Capacitor"
"C69","BottomLayer","C0402_IPC_H","1582.677","937.008","270","Capacitor"
"C70","BottomLayer","C0402_IPC_H","1566.929","740.158","180","Capacitor"
"C71","BottomLayer","C0402_IPC_H","1578.740","468.504","90","Capacitor"
"C72","BottomLayer","C0402_IPC_H","1555.118","562.992","270","Capacitor"
"C73","BottomLayer","C0402_IPC_H","1539.370","795.276","360","Capacitor"
"C74","BottomLayer","C0805_M","1496.063","1122.047","360","Capacitor"
"C75","BottomLayer","C0402_IPC_H","1472.441","921.260","360","Capacitor"
"C76","BottomLayer","C0402_IPC_H","1484.252","500.000","90","Capacitor"
"C77","BottomLayer","C0402_IPC_H","1468.504","610.236","360","Capacitor"
"C78","BottomLayer","C0402_IPC_H","1456.693","716.535","90","Capacitor"
"C79","BottomLayer","C0402_IPC_H","1437.008","984.252","180","Capacitor"
"C80","BottomLayer","C0402_IPC_H","1409.449","826.772","180","Capacitor"
"C81","BottomLayer","C0402_IPC_H","1377.953","610.236","180","Capacitor"
"C82","BottomLayer","C0402_IPC_H","1377.953","641.732","360","Capacitor"
"C83","BottomLayer","C0402_IPC_H","1377.953","673.228","180","Capacitor"
"C84","BottomLayer","C0402_IPC_H","1377.953","736.220","180","Capacitor"
"C85","BottomLayer","C0402_IPC_H","1377.953","767.716","360","Capacitor"
"C86","BottomLayer","C0402_IPC_H","1389.764","531.496","90","Capacitor"
"C87","BottomLayer","C0402_IPC_H","1346.457","704.724","360","Capacitor"
"C88","BottomLayer","C0402_IPC_H","1362.205","846.457","90","Capacitor"
"C89","BottomLayer","C0402_IPC_H","1334.646","500.000","270","Capacitor"
"C90","BottomLayer","C0402_IPC_H","1330.709","846.457","270","Capacitor"
"C91","BottomLayer","C0402_IPC_H","1330.709","909.449","90","Capacitor"
"C92","BottomLayer","C0402_IPC_H","1299.213","657.480","90","Capacitor"
"C93","BottomLayer","C0402_IPC_H","1299.213","846.457","90","Capacitor"
"C94","BottomLayer","C0402_IPC_H","1251.968","673.228","360","Capacitor"
"C95","BottomLayer","C0402_IPC_H","1251.968","799.213","180","Capacitor"
"C96","BottomLayer","C0402_IPC_H","1251.968","830.709","360","Capacitor"
"C97","BottomLayer","C0402_IPC_H","1263.780","468.504","90","Capacitor"
"C98","BottomLayer","C0402_IPC_H","1220.472","610.236","360","Capacitor"
"C99","BottomLayer","C0402_IPC_H","1220.472","736.220","360","Capacitor"
"C100","BottomLayer","C0402_IPC_H","1220.472","862.205","180","Capacitor"
"C101","BottomLayer","C0402_IPC_H","1220.472","956.693","360","Capacitor"
"C102","BottomLayer","C0402_IPC_H","1219.882","578.740","180","Capacitor"
"C103","BottomLayer","C0402_IPC_H","1216.535","484.252","360","Capacitor"
"C104","BottomLayer","C0402_IPC_H","1188.976","547.244","360","Capacitor"
"C105","BottomLayer","C0402_IPC_H","1188.976","673.228","360","Capacitor"
"C106","BottomLayer","C0402_IPC_H","1188.976","767.716","180","Capacitor"
"C107","BottomLayer","C0402_IPC_H","1188.976","799.212","360","Capacitor"
"C108","BottomLayer","C0402_IPC_H","1185.039","1019.685","360","Capacitor"
"C109","BottomLayer","C0402_IPC_H","1185.039","1125.984","90","Capacitor"
"C110","BottomLayer","C0402_IPC_H","1157.480","610.236","180","Capacitor"
"C111","BottomLayer","C0402_IPC_H","1173.228","846.457","270","Capacitor"
"C112","BottomLayer","C0402_IPC_H","1062.992","641.732","360","Capacitor"
"C113","BottomLayer","C0402_IPC_H","1062.992","956.693","360","Capacitor"
"C114","BottomLayer","C0402_IPC_H","1047.244","751.968","90","Capacitor"
"C115","BottomLayer","C0402_IPC_H","1031.496","862.205","360","Capacitor"
"C116","BottomLayer","C0402_IPC_H","1031.496","1019.685","180","Capacitor"
"C117","BottomLayer","C0402_IPC_H","980.315","1118.110","270","Capacitor"
"C118","BottomLayer","C0201_IPC_H","751.969","594.488","270","Capacitor"
"C119","BottomLayer","C0201_IPC_H","751.969","657.480","270","Capacitor"
"C120","BottomLayer","C0201_IPC_H","751.968","1035.433","90","Capacitor"
"C121","BottomLayer","C0201_IPC_H","736.221","956.693","180","Capacitor"
"C122","BottomLayer","C0201_IPC_H","736.221","988.189","180","Capacitor"
"C123","BottomLayer","C0201_IPC_H","736.221","1082.677","360","Capacitor"
"C124","BottomLayer","C0201_IPC_H","720.472","814.961","90","Capacitor"
"C125","BottomLayer","C0201_IPC_H","704.724","704.724","180","Capacitor"
"C126","BottomLayer","C0201_IPC_H","704.724","862.205","360","Capacitor"
"C127","BottomLayer","C0402_IPC_H","629.921","547.244","90","Capacitor"
"C128","BottomLayer","C0402_IPC_H","629.921","877.953","270","Capacitor"
"C129","BottomLayer","C0201_IPC_H","531.496","783.465","90","Capacitor"
"C130","BottomLayer","C0201_IPC_H","515.748","1019.685","360","Capacitor"
"C131","BottomLayer","C0201_IPC_H","514.764","830.709","180","Capacitor"
"C132","BottomLayer","C0201_IPC_H","484.252","862.205","180","Capacitor"
"C133","BottomLayer","C0201_IPC_H","468.504","1003.937","270","Capacitor"
"C134","BottomLayer","C0201_IPC_H","468.504","1066.929","270","Capacitor"
"C135","BottomLayer","C0201_IPC_H","468.504","625.984","90","Capacitor"
"C136","BottomLayer","C0201_IPC_H","468.504","688.976","90","Capacitor"
"C137","BottomLayer","C0201_IPC_H","468.504","940.945","90","Capacitor"
"C138","BottomLayer","C0201_IPC_H","448.819","480.315","180","Capacitor"
"C139","BottomLayer","C0402_IPC_H","401.575","547.244","90","Capacitor"
"C140","BottomLayer","C0201_IPC_H","374.016","204.724","90","Capacitor"
"C141","BottomLayer","C0402_IPC_H","342.520","200.787","90","Capacitor"
"C142","BottomLayer","C0201_IPC_H","314.961","200.787","90","Capacitor"
"C143","BottomLayer","C0201_IPC_H","299.213","799.213","360","Capacitor"
"C144","BottomLayer","C0201_IPC_H","271.654","590.551","360","Capacitor"
"C145","BottomLayer","C0402_IPC_H","263.779","185.039","360","Capacitor"
"C146","BottomLayer","C0402_IPC_H","255.905","854.331","270","Capacitor"
"C147","BottomLayer","C0402_IPC_H","208.661","830.709","360","Capacitor"
"C148","BottomLayer","C0402_IPC_H","192.913","606.299","360","Capacitor"
